code,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20
OLY,0.3464,0.1679,0.1159,0.0857,0.0617,0.0524,0.0399,0.0332,0.0265,0.0178,0.0134,0.0119,0.0086,0.0047,0.0043,0.0037,0.003,0.0018,0.0008,0.0004
MAD,0.0971,0.109,0.096,0.083,0.0812,0.0789,0.0668,0.0626,0.0519,0.0496,0.0419,0.0387,0.0335,0.0281,0.0243,0.0201,0.0155,0.0107,0.0074,0.0037
RED,0.0775,0.0908,0.0942,0.0836,0.0748,0.0712,0.0685,0.0577,0.0532,0.0496,0.0509,0.0442,0.043,0.0354,0.0275,0.0271,0.0186,0.0155,0.011,0.0057
DUB,0.0725,0.0804,0.0806,0.0793,0.0797,0.0718,0.0736,0.0652,0.0598,0.0553,0.0503,0.0477,0.0406,0.0355,0.0305,0.0251,0.0196,0.0171,0.0099,0.0055
PAN,0.0528,0.074,0.0683,0.0771,0.0703,0.0749,0.0651,0.0655,0.0615,0.0585,0.0564,0.0513,0.0438,0.0433,0.0399,0.0327,0.0246,0.0213,0.0125,0.0062
ULK,0.0575,0.0649,0.0721,0.0682,0.0671,0.0688,0.0662,0.0643,0.0568,0.0582,0.0521,0.0518,0.0466,0.0443,0.0406,0.0365,0.0292,0.0276,0.0184,0.0088
ZAL,0.0478,0.0657,0.0633,0.062,0.0674,0.0627,0.0634,0.0619,0.0612,0.0577,0.0597,0.0522,0.0479,0.0498,0.0448,0.0403,0.0334,0.0274,0.0212,0.0102
HTA,0.0457,0.0515,0.0614,0.065,0.0679,0.0682,0.07,0.066,0.0652,0.0599,0.0569,0.0552,0.0518,0.0455,0.0432,0.0391,0.0333,0.0268,0.0195,0.0079
PAM,0.0443,0.0576,0.0639,0.0693,0.0661,0.0653,0.0625,0.0601,0.0625,0.0622,0.0578,0.0545,0.0518,0.0478,0.0447,0.0383,0.0337,0.0284,0.0183,0.0109
TEL,0.0364,0.0484,0.0547,0.0561,0.0632,0.0601,0.0629,0.0626,0.0663,0.062,0.0628,0.0566,0.0566,0.0541,0.0512,0.0432,0.0382,0.0324,0.0212,0.011
BAR,0.0323,0.0453,0.0529,0.056,0.0551,0.0563,0.0573,0.0581,0.0613,0.0616,0.0585,0.0547,0.0598,0.0533,0.0537,0.0496,0.0456,0.0391,0.0319,0.0176
MIL,0.024,0.0369,0.0397,0.0458,0.0513,0.0512,0.0541,0.0567,0.0633,0.0583,0.0637,0.0645,0.0634,0.0568,0.06,0.0525,0.056,0.0412,0.0391,0.0215
PRS,0.0191,0.0288,0.0346,0.0425,0.0494,0.0472,0.0554,0.0559,0.0592,0.0619,0.0651,0.0633,0.0599,0.0656,0.062,0.0612,0.0576,0.0491,0.0374,0.0248
BES,0.0169,0.0239,0.0282,0.033,0.0357,0.0413,0.0451,0.0494,0.0527,0.0549,0.0634,0.0636,0.0644,0.0666,0.0659,0.0632,0.0644,0.071,0.0605,0.0359
MUN,0.0086,0.0159,0.0251,0.0274,0.033,0.0344,0.0426,0.0433,0.0473,0.0538,0.0558,0.057,0.0641,0.0719,0.0704,0.0789,0.076,0.0758,0.0707,0.048
IST,0.0081,0.0143,0.0173,0.021,0.0237,0.0295,0.0334,0.042,0.0448,0.0489,0.0513,0.0631,0.063,0.0679,0.0727,0.0752,0.0867,0.0877,0.0892,0.0602
BAS,0.0045,0.0081,0.0111,0.0157,0.0192,0.0217,0.0244,0.0326,0.0347,0.045,0.0444,0.0515,0.0613,0.0685,0.0743,0.0871,0.0965,0.0992,0.1117,0.0885
VIR,0.0046,0.0083,0.0119,0.0151,0.0148,0.0233,0.0243,0.0315,0.0346,0.0392,0.0447,0.0541,0.0607,0.0664,0.0748,0.0838,0.097,0.1056,0.1142,0.0911
PAR,0.0037,0.0073,0.0083,0.0135,0.0169,0.019,0.021,0.0272,0.031,0.0368,0.0395,0.0483,0.0607,0.0658,0.0772,0.0911,0.0958,0.1142,0.1216,0.1011
ASV,0.0002,0.001,0.0005,0.0007,0.0015,0.0018,0.0035,0.0042,0.0062,0.0088,0.0114,0.0158,0.0185,0.0287,0.038,0.0513,0.0753,0.1081,0.1835,0.441
