hackastat_name,code
AS Monaco Basket,MCO
ASVEL Villeurbanne,ASV
Anadolu Efes Istanbul,IST
BC UNICS,UNK
BC Zalgiris,ZAL
BC Zenit Saint Petersburg,ZEN
Baskonia Vitoria-Gasteiz,BAS
Besiktas JK,BES
Dubai Basketball,DUB
FC Barcelona,BAR
FC Bayern Munich,MUN
Fenerbahçe SK,ULK
Hapoel Tel Aviv,HTA
KK Crvena zvezda,RED
KK Partizan,PAR
Khimki Moscow Region,KHI
Maccabi Tel Aviv BC,TEL
Olimpia Milano,MIL
Olympiacos Piraeus,OLY
PBC CSKA Moscow,CSK
Panathinaikos Athlitikos Omilos,PAN
Paris Basketball,PRS
Real Madrid,MAD
Valencia Basket,PAM
Virtus Bologna,VIR
