code,name,alias,permanent_name,country,city
IST,Anadolu Efes Istanbul,Efes,Anadolu Efes Istanbul,TUR,ISTANBUL
MIL,Armani Olimpia Milan,Milan,EA7 Emporio Armani Milan,ITA,Milan
BES,Besiktas Istanbul,Besiktas,Besiktas Istanbul,TUR,ISTANBUL
RED,Crvena Zvezda Meridianbet Belgrade,Crvena,Crvena Zvezda Meridianbet Belgrade,SRB,BELGRADE
DUB,Dubai Basketball,Dubai,Dubai Basketball,UAE,Dubai
BAR,FC Barcelona,Barca,FC Barcelona,ESP,BARCELONA
MUN,FC Bayern Munich,Bayern,FC Bayern Munich,GER,Munich
ULK,Fenerbahce Tarfin Istanbul,Fenerbahce,Fenerbahce Beko Istanbul,TUR,Istanbul
HTA,Hapoel IBI Tel Aviv,Hapoel,Hapoel Tel Aviv,ISR,Tel Aviv
BAS,Kosner Baskonia Vitoria-Gasteiz,Baskonia,Saski Baskonia,ESP,VITORIA-GASTEIZ
ASV,LDLC ASVEL Villeurbanne,ASVEL,LDLC ASVEL Villeurbanne,FRA,Lyon
TEL,Maccabi Rapyd Tel Aviv,Maccabi,Maccabi Rapyd Tel Aviv,ISR,Tel Aviv
OLY,Olympiacos Piraeus,Olympiacos,Olympiacos BC,GRE,PIRAEUS
PAN,Panathinaikos AKTOR Athens,Panathinaikos,Panathinaikos BC,GRE,ATHENS
PRS,Paris Basketball,Paris,Paris Basketball,FRA,Paris
PAR,Partizan Mozzart Bet Belgrade,Partizan,Partizan Mozzart Bet Belgrade,SRB,BELGRADE
MAD,Real Madrid,Real,Real Madrid,ESP,Madrid
PAM,Valencia Basket,Valencia,Valencia Basket,ESP,VALENCIA
VIR,Virtus Bologna,Virtus,Virtus Bologna,ITA,BOLOGNA
ZAL,Zalgiris Kaunas,Zalgiris,Zalgiris Kaunas,LTU,Kaunas
