team,kind,ec_season,el_season,weight,ec_net,el_net,ec_off,el_off,ec_def,el_def,ec_win,el_win,fit
AS Monaco Basket,forward,2020-2021,2021-2022,1.0,11.339,4.042,117.048,116.829,105.709,112.787,0.739,0.553,0.695
BC UNICS,forward,2020-2021,2021-2022,1.0,5.963,1.956,115.921,107.556,109.958,105.6,0.625,0.52,0.398
Hapoel Tel Aviv,forward,2024-2025,2025-2026,2.0,10.475,2.621,118.296,118.002,107.821,115.381,0.708,0.571,0.648
KK Partizan,forward,2021-2022,2022-2023,1.0,9.722,3.769,116.233,121.933,106.511,118.164,0.667,0.564,0.606
Paris Basketball,forward,2023-2024,2024-2025,2.0,22.926,-0.882,126.865,116.713,103.939,117.595,0.957,0.526,1.336
Valencia Basket,forward,2021-2022,2022-2023,1.0,9.767,-5.494,120.767,113.218,111.0,118.712,0.667,0.441,0.608
Valencia Basket,forward,2024-2025,2025-2026,2.0,16.214,4.766,122.336,119.018,106.123,114.252,0.818,0.636,0.965
Virtus Bologna,forward,2021-2022,2022-2023,1.0,6.286,-6.268,113.118,109.097,106.832,115.365,0.682,0.412,0.416
Valencia Basket,reverse,2021-2022,2020-2021,0.5,9.767,0.747,120.767,115.762,111.0,115.015,0.667,0.559,0.608
Valencia Basket,reverse,2024-2025,2023-2024,0.5,16.214,-3.965,122.336,105.956,106.123,109.921,0.818,0.412,0.965
