,AS Monaco Basket 2020->2021,BC UNICS 2020->2021,Hapoel Tel Aviv 2024->2025,KK Partizan 2021->2022,Paris Basketball 2023->2024,Valencia Basket 2021->2022,Valencia Basket 2024->2025,Virtus Bologna 2021->2022,median_ratio,ratio_sd
minutes,1.0209,1.0097,1.0001,0.9982,0.9872,1.0014,1.0056,1.0037,1.0025,0.0097
pts,1.0061,0.912,0.9907,0.9973,0.8838,0.9379,0.9438,0.933,0.9408,0.0437
2pm,0.978,0.9737,1.001,0.9418,0.7844,0.914,1.0209,0.7952,0.9578,0.0904
2pa,0.9565,0.9752,1.0248,0.9406,0.8896,0.9555,1.0495,0.8321,0.956,0.0695
2p_pct,1.0263,1.009,0.9714,0.9851,0.8944,0.9622,0.9786,0.9586,0.975,0.0393
3pm,1.1673,0.919,1.021,1.0492,1.0383,0.9805,0.8986,1.0881,1.0297,0.0879
3pa,1.0799,0.917,0.9806,0.8948,1.0966,0.9723,0.944,0.9809,0.9764,0.0718
3p_pct,1.0959,1.0092,1.0287,1.1535,0.9505,1.0069,0.9556,1.1255,1.0189,0.0762
fgm,1.0244,0.956,1.0066,0.9714,0.8554,0.937,0.9741,0.8712,0.9637,0.0599
fga,0.9979,0.9521,1.0074,0.9231,0.9717,0.9632,0.9977,0.8876,0.9674,0.0412
fg_pct,1.0302,1.0063,0.9949,1.0474,0.8865,0.9685,0.9748,0.9764,0.9857,0.0488
ftm,0.8642,0.7186,0.9101,1.0643,0.9168,0.912,0.8539,1.1375,0.911,0.1289
fta,0.8349,0.7919,0.8628,1.0175,0.9025,0.8567,0.9097,0.9832,0.8827,0.0754
ft_pct,1.0353,0.8958,1.0712,1.0334,1.0152,1.0745,0.9413,1.1837,1.0344,0.0874
orb,0.7693,0.8005,0.9406,0.7032,0.9916,0.7177,0.9845,0.7216,0.7849,0.1238
drb,1.0172,0.9789,0.9647,0.8312,0.93,0.8439,0.9055,0.9113,0.9206,0.0643
trb,0.9253,0.9172,0.9581,0.7876,0.9497,0.8002,0.9311,0.8532,0.9213,0.0674
ast,1.0343,0.9863,0.8667,0.9038,0.7814,0.8438,0.9149,0.8819,0.8928,0.0796
tov,0.9482,1.101,0.967,0.7987,0.9463,0.9821,0.8967,1.1457,0.9576,0.1094
st,1.0293,1.2966,0.8077,0.8194,0.6753,1.3285,0.9303,0.9266,0.9284,0.2323
blk,0.781,0.96,0.9638,0.7666,0.6557,0.79,1.0068,0.7178,0.7855,0.1293
pf,0.9429,0.8743,0.921,1.122,1.0166,1.1195,0.971,1.0009,0.9859,0.089
df,0.8726,0.7765,0.916,1.0376,0.9679,0.9238,0.8998,0.9656,0.9199,0.077
eff,0.9997,0.8917,0.948,0.9416,0.7813,0.8301,0.9046,0.8707,0.8982,0.0695
plus_minus,0.4284,0.2677,0.2419,0.3065,0.0086,-0.59,0.3093,-1.1377,,
poss,1.0069,0.9815,0.992,0.9506,0.9584,0.9991,0.9721,0.966,0.9768,0.02
pace,0.9858,0.9711,0.9919,0.9528,0.9711,0.9978,0.9671,0.9627,0.9711,0.0154
off_rtg,0.9981,0.9278,0.9975,1.049,0.92,0.9375,0.9729,0.9645,0.9687,0.0434
def_rtg,1.067,0.9604,1.0701,1.1094,1.1314,1.0695,1.0766,1.0799,1.0734,0.05
net_rtg,0.3565,0.3281,0.2503,0.3877,-0.0385,-0.5625,0.2939,-0.997,,
efg_pct,1.0466,1.0017,0.9964,1.0591,0.9092,0.976,0.9624,1.0028,0.999,0.0473
ts_pct,1.0385,0.9799,0.9992,1.063,0.9166,0.9851,0.9558,1.0328,0.9921,0.0477
rim_freq,1.1763,0.9251,0.8367,0.8195,0.8307,1.0117,0.9603,0.8898,0.9075,0.1199
rim_pps,0.9908,1.0366,1.0413,1.0256,0.887,0.9865,1.0092,0.9287,1.0,0.0545
mid_freq,0.8651,1.0882,1.3877,1.3308,1.1521,0.9422,1.432,0.8344,1.1202,0.2369
mid_pps,1.0512,1.0855,0.9572,1.1023,1.1195,0.8539,0.9937,1.0367,1.044,0.088
long_freq,0.6712,1.1983,1.6722,1.6359,0.7692,1.1309,1.358,1.5205,1.2781,0.377
long_pps,0.6247,0.844,1.2854,1.8607,0.8712,1.0023,0.9719,1.0799,0.9871,0.3732
c3_freq,2.0139,1.2962,1.0166,0.9178,1.1563,0.9648,0.8832,1.5924,1.0865,0.3945
c3_pps,1.1611,1.3792,0.8082,0.8473,0.7923,1.363,0.7526,1.7744,1.0042,0.3721
